Type,Name,postcode,district,state,latitude,longitude,no.of. Bed
Hospital,HOSPITAL TAMBUNAN,89657,Tambunan,Sabah,5.682566,116.370771,49
Hospital,HOSPITAL CHANGKAT MELINTANG,32900,Perak Tengah,Perak,4.312711,100.910293,50
Hospital,HOSPITAL BELURAN,90109,Labuk & Sugut,Sabah,5.892804,117.557788,52
Hospital,HOSPITAL MARUDI,98050,Marudi,Sarawak,4.18083,114.33167,54
Hospital,HOSPITAL MERSING,86800,Mersing,Johor,2.429132,103.84569,55
Hospital,HOSPITAL BAU,94000,Bau,Sarawak,1.42923,110.1424,68
Hospital,HOSPITAL KINABATANGAN,90020,Kinabatangan,Sabah,5.5853,117.85,68
Hospital,HOSPITAL TANGKAK,84900,Muar,Johor,2.271817,102.547182,69
Hospital,HOSPITAL JENGKA,26400,Maran,Pahang,3.772436,102.552776,70
Hospital,HOSPITAL SEMPORNA,91307,Semporna,Sabah,4.483205,118.604336,70
Hospital,HOSPITAL BALIK PULAU,11000,Daerah Barat Daya,Pulau Pinang,5.350582,100.233089,71
Hospital,HOSPITAL KUALA NERANG,6300,Padang Terap,Kedah,6.252255,100.609438,72
Hospital,HOSPITAL GERIK,33000,Hulu Perak,Perak,5.429134,101.127511,75
Hospital,"HOSPITAL TENGKU ANIS, PASIR PUTEH",16800,Pasir Puteh,Kelantan,5.832866,102.387502,75
Hospital,HOSPITAL JELEBU,71600,Jelebu,Negeri Sembilan,2.950434,102.058889,76
Hospital,HOSPITAL JASIN,77000,Jasin,Melaka,2.304796,102.428502,76
Hospital,HOSPITAL SETIU,22100,Besut,Terengganu,5.514307,102.770142,76
Hospital,HOSPITAL JERANTUT,27000,Jerantut,Pahang,3.929246,102.360706,77
Hospital,HOSPITAL PAPAR,89607,Papar,Sabah,5.72673,115.92404,77
Hospital,HOSPITAL MUKAH,96400,Mukah,Sarawak,2.90217,112.0778,80
Hospital,HOSPITAL SERIAN,94700,Serian,Sarawak,1.17676,110.56375,84
Hospital,HOSPITAL TAMPIN,73009,Tampin,Negeri Sembilan,2.471155,102.228212,85
Hospital,HOSPITAL YAN,6900,Yan,Kedah,5.820893,100.384388,89
Hospital,HOSPITAL RAUB,27600,Raub,Pahang,3.809944,101.852236,89
Hospital,HOSPITAL SELAMA,34100,"Larut, Matang & Selama",Perak,5.213123,100.68887,90
Hospital,HOSPITAL KAMPAR,31900,Kinta,Perak,4.311962,101.156333,90
Hospital,HOSPITAL MACHANG,18500,Machang,Kelantan,5.763276,102.224921,90
Hospital,HOSPITAL TENOM,89907,Tenom,Sabah,5.1235,115.94367,92
Hospital,HOSPITAL SIK,8200,Sik,Kedah,5.811514,100.727299,93
Hospital,HOSPITAL SUNGAI SIPUT,31100,Kuala Kangsar,Perak,4.827163,101.056572,93
Hospital,"HOSPITAL TEMENGGONG SERI MAHARAJA TUN IBRAHIM, KULAI",81000,Johor Bahru,Johor,1.639183,103.622584,93
Hospital,HOSPITAL SIPITANG,89857,Sipitang,Sabah,5.09663,115.56287,93
Hospital,HOSPITAL PORT DICKSON,71050,Port Dickson,Negeri Sembilan,2.477803,101.855201,94
Hospital,HOSPITAL KOTA MARUDU,89108,Kota Marudu,Sabah,6.45728,116.77499,97
Hospital,HOSPITAL TAPAH,35000,Batang Padang,Perak,4.200982,101.260384,100
Hospital,HOSPITAL DUNGUN,23000,Dungun,Terengganu,4.752088,103.414453,100
Hospital,HOSPITAL KANOWIT,96700,Kanowit,Sarawak,2.102514,112.151932,100
Hospital,HOSPITAL LIMBANG,98700,Limbang,Sarawak,4.76468,115.01857,100
Hospital,HOSPITAL JITRA,6000,Kubang Pasu,Kedah,6.278285,100.419748,103
Hospital,HOSPITAL SUNGAI BAKAP,14200,Seberang Prai Selatan,Pulau Pinang,5.218512,100.49741,105
Hospital,HOSPITAL SARATOK,95400,Seratok,Sarawak,1.74715,111.3397,106
Hospital,HOSPITAL KEPALA BATAS,13200,Seberang Prai Utara,Pulau Pinang,5.51239,100.43688,108
Hospital,HOSPITAL JEMPOL,72120,Jempol,Negeri Sembilan,2.903466,102.40637,108
Hospital,HOSPITAL LABUAN,81006,Labuan,WP Labuan,5.31062,115.23066,109
Hospital,HOSPITAL LANGKAWI,7000,Langkawi,Kedah,6.325404,99.796596,110
Hospital,HOSPITAL PEKAN,26600,Pekan,Pahang,3.503059,103.379757,110
Hospital,HOSPITAL RANAU,89300,Ranau,Sabah,5.95367,116.67064,110
Hospital,HOSPITAL TANJUNG KARANG,45500,Kuala Selangor,Selangor,3.424991,101.179107,114
Hospital,HOSPITAL KEMAMAN,24000,Kemaman,Terengganu,4.232059,103.420885,116
Hospital,HOSPITAL TUMPAT,16200,Tumpat,Kelantan,6.189896,102.157181,119
Hospital,HOSPITAL HULU TERENGGANU,21700,Hulu Terengganu,Terengganu,5.073457,103.044823,119
Hospital,HOSPITAL PARIT BUNTAR,34200,Kerian,Perak,5.131242,100.4837,120
Hospital,HOSPITAL PASIR MAS,17000,Pasir Mas,Kelantan,6.014316,102.119101,120
Hospital,HOSPITAL TANAH MERAH,17500,Tanah Merah,Kelantan,5.809696,102.152541,120
Hospital,HOSPITAL PONTIAN,82000,Pontian,Johor,1.4988,103.38598,120
Hospital,HOSPITAL KUALA LIPIS,27200,Lipis,Pahang,4.18354,102.05501,128
Hospital,HOSPITAL KAPIT,96800,Kapit,Sarawak,2.0141,112.94297,134
Hospital,HOSPITAL KUALA KANGSAR,33000,Kuala Kangsar,Perak,4.773262,100.931822,136
Hospital,HOSPITAL SLIM RIVER,35900,Batang Padang,Perak,3.837642,101.404475,140
Hospital,HOSPITAL BESUT,22000,Besut,Terengganu,5.729077,102.493452,140
Hospital,HOSPITAL SRI AMAN,95000,Sri Aman,Sarawak,1.23401,111.46274,145
Hospital,HOSPITAL KUALA KUBU BHARU,44000,Hulu Selangor,Selangor,3.564983,101.652827,150
Hospital,HOSPITAL KUALA KRAI,18000,Kuala Krai,Kelantan,5.535636,102.199282,150
Hospital,HOSPITAL BENTONG,28700,Bentong,Pahang,3.526144,101.906347,152
Hospital,HOSPITAL BANTING,42700,Kuala Langat,Selangor,2.803472,101.49389,153
Hospital,HOSPITAL KOTA TINGGI,81900,Kota Tinggi,Johor,1.736114,103.899403,158
Hospital,HOSPITAL BALING,9100,Baling,Kedah,5.678734,100.92521,160
Hospital,HOSPITAL BATU GAJAH,31000,Kinta,Perak,4.479592,101.033943,160
Hospital,HOSPITAL KOTA BELUD,89150,Kota Belud,Sabah,6.3457,116.42669,172
Hospital,HOSPITAL KUDAT,89057,Kudat,Sabah,6.90774,116.83814,180
Hospital,HOSPITAL SARIKEI,96100,Sarikei,Sarawak,2.13191,111.49267,212
Hospital,HOSPITAL KENINGAU,89007,Keningau,Sabah,5.34077,116.15946,212
Hospital,HOSPITAL BUKIT MERTAJAM,14000,Seberang Prai Tengah,Pulau Pinang,5.359892,100.464599,242
Hospital,HOSPITAL KLUANG,86000,Kluang,Johor,2.038021,103.312343,244
Hospital,"HOSPITAL DATIN SERI ENDON, LAHAD DATU",60065,Lahad Datu,Sabah,5.02755,118.31443,268
Hospital,HOSPITAL SERI MANJUNG,32040,Manjung - Dinding,Perak,4.18568,100.662163,270
Hospital,HOSPITAL BEAUFORT,89807,Beaufort,Sabah,5.350967,115.740929,275
Hospital,HOSPITAL KULIM,9000,Kulim,Kedah,5.393173,100.573329,281
Hospital,HOSPITAL BINTULU,97000,Bintulu,Sarawak,3.23015,113.10026,284
Hospital,HOSPITAL KAJANG,43000,Hulu Langat,Selangor,2.993393,101.792729,306
Hospital,HOSPITAL SEBERANG JAYA,13700,Seberang Prai Tengah,Pulau Pinang,5.394912,100.406509,314
Hospital,"HOSPITAL TUANKU AMPUAN NAJIHAH, KUALA PILAH",72000,Kuala Pilah,Negeri Sembilan,2.733345,102.23188,314
Hospital,HOSPITAL SEGAMAT,85000,Segamat,Johor,2.50516,102.81534,314
Hospital,HOSPITAL MIRI,98000,Miri,Sarawak,4.373951,113.998249,333
Hospital,HOSPITAL PUTRAJAYA,62250,Putrajaya,WP Putrajaya,2.929623,101.673299,341
Hospital,HOSPITAL TAWAU,91007,Tawau,Sabah,4.24924,117.879487,401
Hospital,HOSPITAL TENGKU FAUZIAH,1000,Perlis,Perlis,6.440995,100.191337,404
Hospital,"HOSPITAL SULTAN HJ AHMAD SHAH, TEMERLOH",28000,Temerloh,Pahang,3.453936,102.451887,500
Hospital,HOSPITAL SULTANAH NORA ISMAIL BATU PAHAT,83000,Batu Pahat,Johor,1.836339,102.939944,516
Hospital,HOSPITAL TELUK INTAN,36000,Hilir Perak,Perak,4.004601,101.040124,548
Hospital,"HOSPITAL SULTAN ABDUL HALIM, SUNGAI PETANI",8000,Kuala Muda,Kedah,5.669613,100.516499,550
Hospital,"HOSPITAL PAKAR SULTANAH FATIMAH, MUAR",84000,Muar,Johor,2.057237,102.574633,550
Hospital,HOSPITAL SIBU,96000,Sibu,Sarawak,2.297191,111.892144,555
Hospital,HOSPITAL AMPANG,68000,Hulu Langat,Selangor,3.128273,101.763378,562
Hospital,"HOSPITAL QUEEN ELIZABETH, KOTA KINABALU",88586,Kota Kinabalu,Sabah,5.956588,116.072735,589
Hospital,HOSPITAL TAIPING,34000,"Larut, Matang & Selama",Perak,4.851042,100.736961,608
Hospital,HOSPITAL SUNGAI BULUH,47000,Gombak,Selangor,3.220112,101.583028,620
Hospital,HOSPITAL SERDANG,43300,Sepang,Selangor,2.976263,101.720189,682
Hospital,"HOSPITAL SULTAN ISMAIL, PANDAN",81100,Johor Bahru,Johor,1.546984,103.790915,704
Hospital,HOSPITAL UMUM KUCHING,93586,Kuching,Sarawak,1.544093,110.339401,765
Hospital,"HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN",25100,Kuantan,Pahang,3.799259,103.321206,793
Hospital,"HOSPITAL TUANKU JA'AFAR, SEREMBAN",70300,Seremban,Negeri Sembilan,2.709764,101.94472,850
Hospital,"HOSPITAL TENGKU AMPUAN JEMAAH, SABAK BERNAM",45200,Sabak Bernam,Selangor,3.759921,100.989075,893
Hospital,"HOSPITAL RAJA PEREMPUAN ZAINAB II, KOTA BHARU",15586,Kota Bharu,Kelantan,6.125567,102.245691,920
Hospital,HOSPITAL SELAYANG,68100,Gombak,Selangor,3.243053,101.647198,960
Hospital,"HOSPITAL SULTANAH AMINAH, JOHOR BAHRU",80100,Johor Bahru,Johor,1.45852,103.74591,989
Hospital,HOSPITAL SULTANAH BAHIYAH,5460,Kota Setar,Kedah,6.148404,100.406788,1084
Hospital,HOSPITAL MELAKA,75400,Melaka Tengah,Melaka,2.218645,102.260403,1091
Hospital,HOSPITAL TENGKU AMPUAN RAHIMAH,41200,Klang,Selangor,3.020082,101.439859,1154
Hospital,HOSPITAL PULAU PINANG,10990,Daerah Timur Laut,Pulau Pinang,5.42021,100.30957,1198
Hospital,HOSPITAL IPOH,30990,Kinta,Perak,4.603792,101.090193,2200
Hospital,HOSPITAL KUALA LUMPUR,50586,Kuala Lumpur,WP Kuala Lumpur,3.171983,101.699818,2229
Klinik Desa,KLINIK DESA FELCRA KOK,6700,Langkawi,Kedah,6.38846,99.70297,0
Klinik Desa,KLINIK DESA KUALA TERIANG,6700,Langkawi,Kedah,6.3619,99.71261,0
Klinik Desa,KLINIK DESA KEDAWANG,7000,Langkawi,Kedah,6.31982,99.73664,0
Klinik Desa,KLINIK DESA TEMONYONG,7100,Langkawi,Kedah,6.29809,99.73867,0
Klinik Desa,KLINIK DESA NYIOR CHABANG ,7100,Langkawi,Kedah,6.36257,99.74696,0
Klinik Desa,KLINIK DESA EWA,7000,Langkawi,Kedah,6.39987,99.74896,0
Klinik Desa,KLINIK DESA BAYAS,7000,Langkawi,Kedah,6.33046,99.76824,0
Klinik Desa,KLINIK DESA ULU MELAKA,9100,Langkawi,Kedah,6.35168,99.77364,0
Klinik Desa,KLINIK DESA SELAT LUBUK CEMPEDAK,7000,Langkawi,Kedah,6.248778,99.830476,0
Klinik Desa,KLINIK DESA KELIBANG,7000,Langkawi,Kedah,6.32783,99.83777,0
Klinik Desa,KLINIK DESA PULAU TUBA,7000,Langkawi,Kedah,6.23364,99.85496,0
Klinik Desa,KLINIK DESA SEBERANG RAMAI,2000,Kangar,Perlis,6.40728,100.13124,0
Klinik Desa,KLINIK DESA BINTONG,1000,Kangar,Perlis,6.44097,100.15585,0
Klinik Desa,KLINIK DESA BEHOR TOI,2000,Kangar,Perlis,6.35945,100.16253,0
Klinik Desa,KLINIK DESA SUNGAI BARU,2600,Kangar,Perlis,6.33501,100.16624,0
Klinik Desa,KLINIK DESA TITI TOK BANDAR,1000,Kangar,Perlis,6.41334,100.16978,0
Klinik Desa,KLINIK DESA SUNGAI PADANG,2700,Kangar,Perlis,6.30816,100.16984,0
Klinik Desa,KLINIK DESA PADANG KERIA,2800,Kangar,Perlis,6.28957,100.18322,0
Klinik Desa,KLINIK DESA BEHOR LATEH,1000,Kangar,Perlis,6.39728,100.18407,0
Klinik Desa,KLINIK DESA PANTAI ACHEH,11000,Daerah Barat Daya,Pulau Pinang,5.41523,100.19641,0
Klinik Desa,KLINIK DESA GERTAK SANGGUL,11900,Daerah Barat Daya,Pulau Pinang,5.28219,100.19793,0
Klinik Desa,KLINIK DESA ABI BATAS PAIP,1000,Kangar,Perlis,6.48837,100.19967,0
Klinik Desa,KLINIK DESA KAMPUNG SURAU ,1000,Kangar,Perlis,6.39906,100.20304,0
Klinik Desa,KLINIK DESA KAMPUNG PERLIS,11000,Daerah Barat Daya,Pulau Pinang,5.31086,100.2037,0
Klinik Desa,KLINIK DESA SUNGAI BURUNG,11000,Daerah Barat Daya,Pulau Pinang,5.33732,100.20737,0
Klinik Desa,KLINIK DESA KEPALA BATAS,2800,Kangar,Perlis,6.3009,100.20849,0
Klinik Desa,KLINIK DESA PADANG MELANGIT,2400,Kangar,Perlis,6.51443,100.21001,0
Klinik Desa,KLINIK DESA SUNGAI PINANG,11000,Daerah Barat Daya,Pulau Pinang,5.39407,100.21087,0
Klinik Desa,KLINIK DESA PERMATANG PASIR,11000,Daerah Barat Daya,Pulau Pinang,5.37337,100.21158,0
Klinik Desa,KLINIK DESA PONDOK UPEH,11000,Daerah Barat Daya,Pulau Pinang,5.33242,100.2182,0
Klinik Desa,KLINIK DESA PADANG PAUH,2200,Kangar,Perlis,6.49061,100.21826,0
Klinik Desa,KLINIK DESA LUBOK SIREH,2200,Kangar,Perlis,6.64973,100.22691,0
Klinik Desa,KLINIK DESA LONG BOH,2700,Kangar,Perlis,6.39216,100.22758,0
Klinik Desa,KLINIK DESA SANTAN,1000,Kangar,Perlis,6.47028,100.22807,0
Klinik Desa,KLINIK DESA PADANG MALAU,2200,Kangar,Perlis,6.5515,100.2292,0
Klinik Desa,KLINIK DESA SERDANG,2700,Kangar,Perlis,6.33374,100.22929,0
Klinik Desa,KLINIK DESA TELOK KUMBAR,11000,Daerah Barat Daya,Pulau Pinang,5.28754,100.22992,0
Klinik Desa,KLINIK DESA JEJAWI,2600,Kangar,Perlis,6.44561,100.23823,0
Klinik Desa,KLINIK DESA SUNGAI BATU,11900,Daerah Barat Daya,Pulau Pinang,5.28696,100.24162,0
Klinik Desa,KLINIK DESA TAMBUN TULANG,2700,Kangar,Perlis,6.38421,100.2462,0
Klinik Desa,KLINIK DESA BATU FERRINGHI,11100,Daerah Timur Laut,Pulau Pinang,5.47325,100.24797,0
Klinik Desa,KLINIK DESA MATA AIR,2500,Kangar,Perlis,6.47545,100.25876,0
Klinik Desa,KLINIK DESA LANA BULU,6150,Kubang Pasu,Kedah,6.28655,100.25913,0
Klinik Desa,KLINIK DESA TITI TINGGI,2100,Kangar,Perlis,6.63502,100.26113,0
Klinik Desa,KLINIK DESA PERMATANG PAKU,6150,Kubang Pasu,Kedah,6.26124,100.26788,0
Klinik Desa,KLINIK DESA PERMATANG DAMAR LAUT,11900,Daerah Barat Daya,Pulau Pinang,5.2738,100.2692,0
Klinik Desa,KLINIK DESA PANGGAS,2500,Kangar,Perlis,6.51583,100.27027,0
Klinik Desa,KLINIK DESA SANGLANG,6100,Kubang Pasu,Kedah,6.28119,100.27186,0
Klinik Desa,KLINIK DESA JERLUN,6150,Kubang Pasu,Kedah,6.20861,100.27205,0
Klinik Desa,KLINIK DESA SUNGAI ARA,11900,Daerah Barat Daya,Pulau Pinang,5.31826,100.2743,0
Klinik Desa,KLINIK DESA GUAR SANJI,2600,Kangar,Perlis,6.41848,100.27567,0
Klinik Desa,KLINIK DESA RELAU,11900,Daerah Barat Daya,Pulau Pinang,5.33084,100.27677,0
Klinik Desa,KLINIK DESA PAYA TERUBONG,11060,Daerah Timur Laut,Pulau Pinang,5.39776,100.27696,0
Klinik Desa,KLINIK DESA FELDA MATA AIR,2100,Kangar,Perlis,6.66335,100.27847,0
Klinik Desa,KLINIK DESA THEAN TEIK,11500,Daerah Timur Laut,Pulau Pinang,5.39281,100.28123,0
Klinik Desa,KLINIK DESA KUBANG JAWI,6250,Kota Setar,Kedah,6.16884,100.28696,0
Klinik Desa,KLINIK DESA SEBERANG KOTA,6600,Kota Setar,Kedah,6.112414,100.287253,0
Klinik Desa,KLINIK DESA BATU BERTANGKUP,2400,Kangar,Perlis,6.54907,100.28821,0
Klinik Desa,KLINIK DESA GUAR NANGKA,2500,Kangar,Perlis,6.4773,100.28827,0
Klinik Desa,KLINIK DESA KUALA KEDAH,6600,Kota Setar,Kedah,6.105432,100.292775,0
Klinik Desa,KLINIK DESA PADANG SIDING,2600,Kangar,Perlis,6.45419,100.29651,0
Klinik Desa,KLINIK DESA KUBANG ROTAN,6250,Kota Setar,Kedah,6.132,100.29855,0
Klinik Desa,KLINIK DESA PAUH,2600,Kangar,Perlis,6.437,100.30273,0
Klinik Desa,KLINIK DESA PADANG HANG,5400,Kota Setar,Kedah,6.201385,100.304727,0
Klinik Desa,KLINIK DESA GELUGOR,11700,Daerah Timur Laut,Pulau Pinang,5.37364,100.31397,0
Klinik Desa,KLINIK DESA BUDI,6400,Kota Setar,Kedah,6.17537,100.31699,0
Klinik Desa,KLINIK DESA PERMATANG KERIANG,6000,Kubang Pasu,Kedah,6.26406,100.31748,0
Klinik Desa,KLINIK DESA SUNGAI KOROK,6150,Kubang Pasu,Kedah,6.23663,100.3181,0
Klinik Desa,KLINIK DESA PIDA DUA,6000,Kubang Pasu,Kedah,6.28414,100.32747,0
Klinik Desa,KLINIK DESA TELOK KECHAI,5400,Kota Setar,Kedah,6.094752,100.328228,0
Klinik Desa,KLINIK DESA SUNGAI BARU,5150,Kota Setar,Kedah,6.158715,100.330537,0
Klinik Desa,KLINIK DESA LEPAI,5350,Kota Setar,Kedah,6.101354,100.331685,0
Klinik Desa,KLINIK DESA MEGAT DEWA,6100,Kubang Pasu,Kedah,6.32681,100.33196,0
Klinik Desa,KLINIK DESA TEBENGAU,5150,Kota Setar,Kedah,6.045587,100.332327,0
Klinik Desa,KLINIK DESA FELDA CHUPING,2500,Kangar,Perlis,6.49257,100.33722,0
Klinik Desa,KLINIK DESA GUNUNG KERIANG,6750,Kota Setar,Kedah,6.188392,100.338716,0
Klinik Desa,KLINIK DESA PADANG SERA,6100,Kubang Pasu,Kedah,6.35626,100.33933,0
Klinik Desa,KLINIK DESA PULAU SAYAK,8500,Kuala Muda,Kedah,5.65257,100.3406,0
Klinik Desa,KLINIK DESA KUALA MUDA,13110,Seberang Perai Utara,Pulau Pinang,5.57206,100.3409,0
Klinik Desa,KLINIK DESA KANGKONG,5400,Kota Setar,Kedah,6.00469,100.34346,0
Klinik Desa,KLINIK DESA PADANG SALIM,8500,Kuala Muda,Kedah,5.636046,100.358095,0
Klinik Desa,KLINIK DESA KAMPUNG RAJA,6000,Kubang Pasu,Kedah,6.255934,100.360397,0
Klinik Desa,KLINIK DESA PERMATANG BULOH,6800,Yan,Kedah,5.9567,100.36092,0
Klinik Desa,KLINIK DESA TELOK NIPAH,8500,Kuala Muda,Kedah,5.65832,100.36118,0
Klinik Desa,KLINIK DESA BUKIT MERIAM,8500,Kuala Muda,Kedah,5.61202,100.3617,0
Klinik Desa,KLINIK DESA TANDOP,5400,Kota Setar,Kedah,6.07393,100.3626,0
Klinik Desa,KLINIK DESA TANJUNG DAWAI,8400,Kuala Muda,Kedah,5.682778,100.362981,0
Klinik Desa,KLINIK DESA PADANG PERAHU,6000,Kubang Pasu,Kedah,6.31443,100.36452,0
Klinik Desa,KLINIK DESA SUKA MENANTI,5400,Kota Setar,Kedah,6.158061,100.366837,0
Klinik Desa,KLINIK DESA TEMALANG,6100,Kubang Pasu,Kedah,6.3457,100.3674,0
Klinik Desa,KLINIK DESA KAMPUNG PISANG,8800,Yan,Kedah,5.92894,100.3687,0
Klinik Desa,KLINIK DESA PASIR GEBU,13110,Seberang Perai Utara,Pulau Pinang,5.55568,100.37218,0
Klinik Desa,KLINIK DESA BAGAN DALAM,12100,Seberang Perai Utara,Pulau Pinang,5.39521,100.37356,0
Klinik Desa,KLINIK DESA PERMATANG BENDAHARI,13110,Seberang Perai Utara,Pulau Pinang,5.57921,100.37444,0
Klinik Desa,KLINIK DESA ALOR MENGKUDU,5400,Kota Setar,Kedah,6.089383,100.379425,0
Klinik Desa,KLINIK DESA SINGKIR ,6900,Yan,Kedah,5.73242,100.37974,0
Klinik Desa,KLINIK DESA SIMPANG EMPAT SEDAKA,6900,Yan,Kedah,5.87212,100.38171,0
Klinik Desa,KLINIK DESA TITI GAJAH,6550,Kota Setar,Kedah,6.19428,100.38274,0
Klinik Desa,KLINIK DESA BAGAN AJAM,13000,Seberang Perai Utara,Pulau Pinang,5.44757,100.38279,0
Klinik Desa,KLINIK DESA DULANG KECIL,6900,Yan,Kedah,5.85365,100.38364,0
Klinik Desa,KLINIK DESA GUAR NAPAI,6010,Kubang Pasu,Kedah,6.38295,100.38371,0
Klinik Desa,KLINIK DESA TELOK AIR TAWAR,13050,Seberang Perai Utara,Pulau Pinang,5.48814,100.3841,0
Klinik Desa,KLINIK DESA SUNGAI YAN ,6900,Yan,Kedah,5.82402,100.38493,0
Klinik Desa,KLINIK DESA BATU LAPAN,6010,Kubang Pasu,Kedah,6.42628,100.38708,0
Klinik Desa,KLINIK DESA SUNGAI BARU,34300,Kerian,Perak,5.048594,100.387792,0
Klinik Desa,KLINIK DESA KAMPUNG NAGA,6200,Kubang Pasu,Kedah,6.22285,100.38847,0
Klinik Desa,KLINIK DESA KAMPUNG KOLAM,6400,Kota Setar,Kedah,6.07912,100.38947,0
Klinik Desa,KLINIK DESA PERMATANG JANGGUS,13110,Seberang Perai Utara,Pulau Pinang,5.55567,100.38969,0
Klinik Desa,KLINIK DESA PULAU AMAN,14100,Seberang Prai Selatan,Pulau Pinang,5.268877,100.390206,0
Klinik Desa,KLINIK DESA KAMPUNG PAUH,6900,Yan,Kedah,5.80539,100.39073,0
Klinik Desa,KLINIK DESA SUNGAI DAUN TENGAH,6800,Yan,Kedah,5.92203,100.39254,0
Klinik Desa,KLINIK DESA SUNGAI PUYU,13020,Seberang Perai Utara,Pulau Pinang,5.44615,100.39607,0
Klinik Desa,KLINIK DESA TELUK MALEK,6000,Kubang Pasu,Kedah,6.24472,100.39718,0
Klinik Desa,KLINIK DESA GELONG,6000,Kubang Pasu,Kedah,6.29676,100.39954,0
Klinik Desa,KLINIK DESA PEKAN DARAT,13800,Seberang Perai Utara,Pulau Pinang,5.47872,100.40151,0
Klinik Desa,KLINIK DESA TITI KERBAU,6050,Kubang Pasu,Kedah,6.44833,100.40236,0
Klinik Desa,KLINIK DESA HUTAN KAMPUNG,5400,Kota Setar,Kedah,6.161459,100.40294,0
Klinik Desa,KLINIK DESA PERMATANG SINTOK,13100,Seberang Perai Utara,Pulau Pinang,5.51127,100.40392,0
Klinik Desa,KLINIK DESA BAGAN TIANG,34250,Kerian,Perak,5.10263,100.40648,0
Klinik Desa,KLINIK DESA BATU LINTANG,8000,Kuala Muda,Kedah,5.608333,100.406944,0
Klinik Desa,KLINIK DESA BATU 14,34350,Kerian,Perak,5.023711,100.4081,0
Klinik Desa,KLINIK DESA BUKIT BESAR,8800,Yan,Kedah,5.95359,100.40865,0
Klinik Desa,KLINIK DESA PARIT TOK HIN,34250,Kerian,Perak,5.041669,100.411822,0
Klinik Desa,KLINIK DESA PERMATANG PAUH,13500,Seberang Perai Tengah,Pulau Pinang,5.41127,100.41268,0
Klinik Desa,KLINIK DESA KAMPUNG SETAR,6900,Yan,Kedah,5.82058,100.41285,0
Klinik Desa,KLINIK DESA SUNGAI LABU,34250,Kerian,Perak,5.083536,100.414569,0
Klinik Desa,KLINIK DESA BAN MERBOK,8400,Kuala Muda,Kedah,5.680944,100.416722,0
Klinik Desa,KLINIK DESA LAHAR KEPAR,13200,Seberang Perai Utara,Pulau Pinang,5.53829,100.4168,0
Klinik Desa,KLINIK DESA KAMPUNG PERTAMA,13500,Seberang Perai Tengah,Pulau Pinang,5.39209,100.41791,0
Klinik Desa,KLINIK DESA SUNGAI BAKAU,14300,Seberang Prai Selatan,Pulau Pinang,5.12503,100.41906,0
Klinik Desa,KLINIK DESA NAPOH,6000,Kubang Pasu,Kedah,6.36177,100.42062,0
Klinik Desa,KLINIK DESA BATU KAWAN,14100,Seberang Prai Selatan,Pulau Pinang,5.26571,100.42079,0
Klinik Desa,KLINIK DESA KAMPUNG SEKOLAH,14000,Seberang Perai Tengah,Pulau Pinang,5.3162,100.4215,0
Klinik Desa,KLINIK DESA ULU SEDAKA,8800,Yan,Kedah,5.87495,100.42198,0
Klinik Desa,KLINIK DESA TOKAI,6660,Pendang,Kedah,6.004889,100.425244,0
Klinik Desa,KLINIK DESA SIMPANG TIGA,8800,Yan,Kedah,5.91712,100.42613,0
Klinik Desa,KLINIK DESA PAJAK SONG,13200,Seberang Perai Utara,Pulau Pinang,5.50008,100.42635,0
